timestep,time,qpid,cell,qpoint,material,strain_00,strain_01,strain_02,strain_11,strain_12,strain_22,updstrain_00,updstrain_01,updstrain_02,updstrain_11,updstrain_12,updstrain_22,stress_00,stress_01,stress_02,stress_11,stress_12,stress_22
1,5e-07,8,1,0,sic,0,0,0,0,-2.168404344971009e-19,0.003999999999999999,0,0,0,0,0,0,1969822353.187017,-7205970.890149509,9132167.736756843,1963047410.336478,6815841.219167783,4052819658.80323
1,5e-07,9,1,1,sic,0,0,0,0,-2.710505431213761e-19,0.004,0,0,0,0,0,0,1969822353.187017,-7205970.890149509,9132167.736756843,1963047410.336478,6815841.219167783,4052819658.80323
1,5e-07,10,1,2,sic,0,0,0,0,-1.897353801849633e-19,0.004000000000000002,0,0,0,0,0,0,1013433131.625669,-7183246.997880287,9133721.468646068,1006658188.734113,6806913.70505241,2055595322.544638
1,5e-07,11,1,3,sic,0,0,0,0,-2.710505431213761e-19,0.004,0,0,0,0,0,0,1013433131.625669,-7183246.997880287,9133721.468646068,1006658188.734113,6806913.70505241,2055595322.544638
1,5e-07,12,1,4,sic,0,0,0,0,-3.794707603699266e-19,0.004,0,0,0,0,0,0,1013433131.625669,-7183246.997880287,9133721.468646068,1006658188.734113,6806913.70505241,2055595322.544638
1,5e-07,13,1,5,sic,0,0,0,0,-4.336808689942018e-19,0.004,0,0,0,0,0,0,1013433131.625669,-7183246.997880287,9133721.468646068,1006658188.734113,6806913.70505241,2055595322.544638
1,5e-07,14,1,6,sic,0,0,0,0,-2.710505431213761e-19,0.004000000000000001,0,0,0,0,0,0,1013433131.625669,-7183246.997880287,9133721.468646068,1006658188.734113,6806913.70505241,2055595322.544638
1,5e-07,15,1,7,sic,0,0,0,0,-2.168404344971009e-19,0.004,0,0,0,0,0,0,1013433131.625669,-7183246.997880287,9133721.468646068,1006658188.734113,6806913.70505241,2055595322.544638
2,1e-06,8,1,0,sic,-0.0007005015060244161,-2.571542345523624e-05,-9.855640767946702e-05,-0.0006392929647806173,-0.0001393689095427093,0.007549641244922333,0,0,0,0,0,0,1888151312.688351,-11916303.22903124,-16606414.1079871,2011177861.588812,-47738868.99633849,5275639027.759018
2,1e-06,9,1,1,sic,-0.0007005015060244161,3.236226332903486e-05,9.374460226617865e-05,-0.0006392957246425396,-0.0001402815247309146,0.00755195778140858,0,0,0,0,0,0,1888672261.633177,-1233721.075675168,33613872.23827554,2011696633.086655,-48105421.11613575,5276763915.491035
2,1e-06,10,1,2,sic,-0.0005843461324558739,-2.571680338619736e-05,-8.352523381455453e-05,-0.0006392929647806173,3.612918963507306e-05,0.00760620867593497,0,0,0,0,0,0,1085883449.105544,-12117126.729147,-12606896.23931827,1156248191.282652,20913099.08620341,3383478240.364855
2,1e-06,11,1,3,sic,-0.0005843461324558739,3.236088339807376e-05,7.688891299697273e-05,-0.0006392957246425396,3.521733208154862e-05,0.007608525316026806,0,0,0,0,0,0,1086436212.341935,-1042712.450502707,29144161.63357182,1156799151.118353,20556212.90773655,3384638871.90831
2,1e-06,12,1,4,sic,-0.0001876988128360275,-6.890426947854879e-06,-9.701205002196958e-05,-0.0001712980336398646,-0.0001016572888676208,0.007549641244922333,0,0,0,0,0,0,1623695084.753953,-8477086.377697198,-16028437.30886444,1652864222.092464,-32735933.14152493,3690279339.795585
2,1e-06,13,1,5,sic,-0.0001876988128360275,8.671442324258206e-06,9.52889599236761e-05,-0.0001712987731426378,-0.0001025698349854312,0.00755195778140858,0,0,0,0,0,0,1624239054.122602,-5582383.963487524,33847327.06502125,1653407940.711334,-33080628.43850123,3691426958.080975
2,1e-06,14,1,6,sic,-0.0001565750742918013,-6.89079669924153e-06,-8.198080708666201e-05,-0.0001712980336398646,7.384081031016132e-05,0.007606208675934968,0,0,0,0,0,0,1667692167.547852,-8513181.105135141,-12123218.11210278,1681631129.697145,35521500.92800394,3732876315.00478
2,1e-06,15,1,7,sic,-0.0001565750742918013,8.671072572871563e-06,7.843333972486525e-05,-0.0001712987731426379,7.292902182703233e-05,0.007608525316026806,0,0,0,0,0,0,1668234568.778711,-5546144.900128284,29469523.0998325,1682173159.176276,35176162.19091865,3734023348.694123
1,5e-07,8,1,0,sic,0,0,0,0,-2.168404344971009e-19,0.003999999999999999,0,0,0,0,0,0,2761765166.186279,-11864886.92485551,-16314422.81223662,2880894527.62299,-47133384.74925878,7186056550.870999
1,5e-07,9,1,1,sic,0,0,0,0,-2.710505431213761e-19,0.004,0,0,0,0,0,0,2762253680.615678,-1277338.889712586,33338332.05195369,2881380890.582126,-47474496.74235304,7187143469.329391
1,5e-07,10,1,2,sic,0,0,0,0,-1.897353801849633e-19,0.004000000000000002,0,0,0,0,0,0,2013171751.701563,-12063861.8791127,-12375341.42189015,2081206169.087765,20757691.3942917,5354995004.97333
1,5e-07,11,1,3,sic,0,0,0,0,-2.710505431213761e-19,0.004,0,0,0,0,0,0,2013689695.939793,-1112184.613231787,28933517.22146473,2081722368.305406,20404621.4460311,5356117705.5539
1,5e-07,12,1,4,sic,0,0,0,0,-3.794707603699266e-19,0.004,0,0,0,0,0,0,2533740189.54927,-8449224.571482103,-15763802.30328527,2561831130.051444,-32314114.90227362,5640169086.35156
1,5e-07,13,1,5,sic,0,0,0,0,-4.336808689942018e-19,0.004,0,0,0,0,0,0,2534249701.508729,-5612335.282773621,33587589.85169881,2562340426.809137,-32666358.04208606,5641279319.36891
1,5e-07,14,1,6,sic,0,0,0,0,-2.710505431213761e-19,0.004000000000000001,0,0,0,0,0,0,2575907058.40831,-8481285.334231487,-11899966.09418455,2589224919.374115,35225384.7410522,5680869322.249705
1,5e-07,15,1,7,sic,0,0,0,0,-2.168404344971009e-19,0.004,0,0,0,0,0,0,2576415095.486743,-5560893.961995166,29255971.79963385,2589732576.850624,34866671.29968222,5681979036.436761
2,1e-06,8,1,0,sic,-0.001158825117456245,-1.889369447088708e-05,-0.0001612737827400451,-0.001148736979605733,-0.0001991785390374762,0.006992761504959408,0,0,0,0,0,0,1935345050.083724,-15018272.57322798,-59144313.06368192,2225832898.027404,-126384789.1774275,7791314428.427922
2,1e-06,9,1,1,sic,-0.001158825117456245,2.503969191553133e-05,0.0001568457909093085,-0.001148812977306171,-0.0001999806303590179,0.006994876365370366,0,0,0,0,0,0,1936260708.087692,2984005.203491053,74990438.5787324,2226720520.391891,-127055802.9816735,7793382087.74313
2,1e-06,10,1,2,sic,-0.001070958344683408,-1.893169332110624e-05,-0.0001500081285068522,-0.001148736979605733,0.0001161716485642525,0.00703934136153319,0,0,0,0,0,0,1275775434.299158,-15587272.93795495,-52131970.80435253,1481738214.845289,66906153.08933882,6013981364.812107
2,1e-06,11,1,3,sic,-0.001070958344683408,2.500169306531217e-05,0.0001439903419049416,-0.001148812977306171,0.0001153904200594528,0.007041406696131956,0,0,0,0,0,0,1276728983.103201,3580185.251654824,67096536.24313657,1482663467.584165,66245324.32589488,6016092711.583629
2,1e-06,12,1,4,sic,-0.0003105062543913016,-5.062550175514554e-06,-0.000159863875799407,-0.0003078031460011231,-0.0001681253013216246,0.006992761504959409,0,0,0,0,0,0,2789062133.443818,-9229291.165340284,-57474082.18973564,2865134869.197584,-98100919.73271796,6841591998.142815
2,1e-06,13,1,5,sic,-0.0003105062543913016,6.709365227490689e-06,0.0001582556978499467,-0.0003078235095235821,-0.000168960409851292,0.006994876365370366,0,0,0,0,0,0,2789997560.155675,-4522887.316637325,74877424.64786638,2866064282.766333,-98776326.1246374,6843673772.514257
2,1e-06,14,1,6,sic,-0.0002869624235852911,-5.072731936744082e-06,-0.000148631238774339,-0.0003078031460011231,0.0001472248862801037,0.007039341361533188,0,0,0,0,0,0,2862309582.40233,-9561065.71997302,-50671541.96669818,2913007847.019279,92826824.78329529,6913144242.445268
2,1e-06,15,1,7,sic,-0.0002869624235852911,6.699183466261177e-06,0.0001453672316374548,-0.0003078235095235823,0.0001464106405671792,0.007041406696131956,0,0,0,0,0,0,2863228216.039368,-4247394.99745035,67178403.41295145,2913919221.460184,92160457.76467079,6915201834.238009
